primary_code,domicile_id,asset_universe,,
40091391,USA,Exchange Traded Funds,,
40091392,USA,Exchange Traded Funds,,
40091393,USA,Exchange Traded Funds,,
40091394,USA,Exchange Traded Funds,,
40091395,USA,Exchange Traded Funds,,
40091396,USA,Exchange Traded Funds,,
40091397,USA,Exchange Traded Funds,,
40091512,USA,Mutual Funds,,
40091597,USA,Exchange Traded Funds,,
40091990,USA,Exchange Traded Funds,,
40092167,USA,Exchange Traded Funds,,
40092347,USA,Mutual Funds,,
40092348,USA,Mutual Funds,,
40092349,USA,Mutual Funds,,
40092596,USA,Mutual Funds,,
40092630,USA,Mutual Funds,,
40092849,USA,Exchange Traded Funds,,
40092850,USA,Exchange Traded Funds,,
40092887,USA,Mutual Funds,,
40092892,USA,Mutual Funds,,
40092897,USA,Mutual Funds,,
40092903,USA,Mutual Funds,,
40092904,USA,Mutual Funds,,
40092905,USA,Mutual Funds,,
40093329,USA,Mutual Funds,,
40093330,USA,Mutual Funds,,
40093424,USA,Mutual Funds,,
40093420,USA,Mutual Funds,,
40093534,USA,Exchange Traded Funds,,
40093867,USA,Exchange Traded Funds,,
40094513,USA,Mutual Funds,,
40094522,USA,Mutual Funds,,
40094549,USA,Mutual Funds,,
40095138,USA,Exchange Traded Funds,,
40095139,USA,Exchange Traded Funds,,
40095140,USA,Exchange Traded Funds,,
40095141,USA,Exchange Traded Funds,,
40095142,USA,Exchange Traded Funds,,
40095143,USA,Exchange Traded Funds,,
40095144,USA,Exchange Traded Funds,,
40095145,USA,Exchange Traded Funds,,
40095146,USA,Exchange Traded Funds,,
40095941,USA,Mutual Funds,,
40097200,USA,Mutual Funds,,
40022840,USA,Exchange Traded Funds,,
40097677,USA,Exchange Traded Funds,,
40097765,USA,Mutual Funds,,
40097850,USA,Exchange Traded Funds,,
40097851,USA,Exchange Traded Funds,,
40097887,USA,Exchange Traded Funds,,
40097905,USA,Mutual Funds,,
40097906,USA,Mutual Funds,,
40098390,USA,Exchange Traded Funds,,
40098658,USA,Mutual Funds,,
40099260,USA,Exchange Traded Funds,,
40099261,USA,Exchange Traded Funds,,
40099262,USA,Exchange Traded Funds,,
40099263,USA,Exchange Traded Funds,,
40099279,USA,Exchange Traded Funds,,
40099280,USA,Exchange Traded Funds,,
40099281,USA,Mutual Funds,,
40099429,USA,Mutual Funds,,
40099457,USA,Exchange Traded Funds,,
40100152,USA,Exchange Traded Funds,,
40100682,USA,Mutual Funds,,
40100688,USA,Mutual Funds,,
40101380,USA,Mutual Funds,,
40101399,USA,Exchange Traded Funds,,
40101400,USA,Exchange Traded Funds,,
40101401,USA,Exchange Traded Funds,,
40101402,USA,Exchange Traded Funds,,
40101403,USA,Exchange Traded Funds,,
40101404,USA,Exchange Traded Funds,,
40101405,USA,Exchange Traded Funds,,
40101406,USA,Exchange Traded Funds,,
40102100,USA,Mutual Funds,,
40103076,USA,Exchange Traded Funds,,
40103077,USA,Exchange Traded Funds,,
40103078,USA,Exchange Traded Funds,,
40103739,USA,Mutual Funds,,
40103990,USA,Mutual Funds,,
40104016,USA,Exchange Traded Funds,,
40104017,USA,Exchange Traded Funds,,
40104018,USA,Exchange Traded Funds,,
40104019,USA,Exchange Traded Funds,,
40104020,USA,Exchange Traded Funds,,
40104021,USA,Exchange Traded Funds,,
40104022,USA,Exchange Traded Funds,,
40104023,USA,Exchange Traded Funds,,
40104024,USA,Exchange Traded Funds,,
40104192,USA,Exchange Traded Funds,,
40104194,USA,Exchange Traded Funds,,
40104298,USA,Mutual Funds,,
40104794,USA,Mutual Funds,,
40104860,USA,Mutual Funds,,
40104949,USA,Exchange Traded Funds,,
40104958,USA,Exchange Traded Funds,,
40104959,USA,Exchange Traded Funds,,
40104962,USA,Exchange Traded Funds,,
40104964,USA,Exchange Traded Funds,,
