primary_code,t_date,fund size
60036206,10/31/2019,73906716
60036207,10/31/2019,1010078155
60036220,10/31/2019,914159928
60036221,10/31/2019,39769719
60036231,10/31/2019,1225341881
60036232,10/31/2019,142890028
60036233,10/31/2019,8465532007
60036235,10/31/2019,32990783
60036237,10/31/2019,193096404
60036243,10/31/2019,44794761
60036248,10/31/2019,159621803
60036263,10/31/2019,131804848
60036266,10/31/2019,1930279308
60036267,10/31/2019,128809814
60036269,10/31/2019,3108031358
60036284,10/31/2019,732526690
60036287,10/31/2019,1163762518
60036290,10/31/2019,89943549
60036291,10/31/2019,52516122
60036295,10/31/2019,134091640
60036297,10/31/2019,176228919
60036299,10/31/2019,165120162
60036300,10/31/2019,238855327
60036304,10/31/2019,1086569660
60036306,10/31/2019,852644146
60036475,10/31/2019,63470858
60036877,10/31/2019,960844686
60037109,10/31/2019,7784714322
60037111,10/31/2019,66503452
60044374,10/31/2019,162968302
60044376,10/31/2019,54384085
60044412,10/31/2019,708376990
60044424,10/31/2019,724553434
60044822,10/31/2019,875166465
60045048,10/31/2019,512179797
60045558,10/31/2019,1240223197
60045560,10/31/2019,83007676
60045632,10/31/2019,1230295865
60045700,10/31/2019,1561389449
60045860,10/31/2019,119932903
60046033,10/31/2019,293800642
60046518,10/31/2019,575165420
60049333,10/31/2019,2899952312
60049336,10/31/2019,208249264
60049338,10/31/2019,471553126
60049349,10/31/2019,61706400
60049350,10/31/2019,4949969900
60049351,10/31/2019,2489989300
60049352,10/31/2019,996985500
60049353,10/31/2019,58828300
60049357,10/31/2019,1892952600
60049366,10/31/2019,662716819
60049409,10/31/2019,3147681026
60050418,10/31/2019,16723877
60050763,10/31/2019,53451894
60050765,10/31/2019,317960391
60050768,10/31/2019,87522748
60051517,10/31/2019,97195649
60052244,10/31/2019,3224856502
60052246,10/31/2019,801943130
60052277,10/31/2019,135702224
60052360,10/31/2019,851868707
60052384,10/31/2019,3709124410
60052385,10/31/2019,465103786
60052390,10/31/2019,1969734480
60052527,10/31/2019,322857596
60052673,10/31/2019,10557658624
60052703,10/31/2019,4059106586
60052705,10/31/2019,1785608760
60052817,10/31/2019,98825044
60052823,10/31/2019,3981690648
60053008,10/31/2019,2349018922
60053026,10/31/2019,2184938200
60053087,10/31/2019,3222660414
60053100,10/31/2019,586359135
60053353,10/31/2019,14589627053
60054121,10/31/2019,306511446
60055410,10/31/2019,22667855
60055414,10/31/2019,7926070
60055415,10/31/2019,19664297
60055421,10/31/2019,14390715
60055422,10/31/2019,1120850075
60055423,10/31/2019,22991322
60055424,10/31/2019,98645068
60055425,10/31/2019,107302244
60055426,10/31/2019,2174829097
60055430,10/31/2019,439645765
60055435,10/31/2019,205369878
60055442,10/31/2019,10903387
60055443,10/31/2019,128270051
60055444,10/31/2019,177259476
60055452,10/31/2019,77495423
60055453,10/31/2019,35169697
60055455,10/31/2019,55609659
60055459,10/31/2019,14432608
